,DESCRIÇÃO PARCEIRO,SUB-CATEGORIA,CATEGORIA
1836,PIMENTA CALABRESA ANGELICA 30G,PIMENTA CALABRESA,CONDIMENTO NATURAL
1837,BISC COOKIES VOORTMAN FUD CHOC CHIP 227G,COOKIE,BISCOITO
1838,MAIONESE KEWPIE 350G,TRADICIONAL,MAIONESE
1839,TABUA CORTE SANREMO 36X24 318,TÁBUA,UTENSÍLIOS DE PLÁSTICO
1840,FILTRO AR FRAM CA3333A,FILTRO DE AR,AUTOMOTIVO FILTROS
1841,DOCE BANANA NICOLINHA 350G,BANANA,DOCE PASTA
1842,KETCHUP MUTTI VD 340G,TRADICIONAL,KETCHUP
1843,SHAMPOO BARRO MINAS 300ML BLOND,USO DIÁRIO,SHAMPOO
1844,LINGUICA 650g GUIMARAES PEITO,PERNIL,LINGUIÇA
1845,TOALHA MESA TEKA MG/OFF 194X194,TOALHA,MESA
1846,DES ROLL BI-O INTENSIVE 50ML LV2 DESC.40%,ROLL ON COM PERFUME,DESODORANTE MASCULINO
1847,SACO LIXO EMBALIXO ANTIBACT PIA BANH,SACO DE LIXO,SACOS
1848,VINHO MONTE DA RAVASQ PREM BCO GFA 750ML,VINHO BRANCO,VINHO
1849,ESCOVA D COLGATE 2-5ANOS,ESCOVA DENTAL INFANTIL,ESCOVA DENTAL INFANTIL
1850,CARVAO RIO 4.0KG,CARVÃO,CHURRASCO
1851,SORVETE SMOTI 50G DOCE DE LEITE,POTE TRADICIONAL,SORVETE
1852,VINHO VERDE VIA LATINA SILVER 750ML VDE,VINHO TINTO,VINHO
1853,PRATO OXFORD PORC SOBREM 20CM BCO,PRATO,UTENSÍLIOS DE PORCELANA/CERÂMICA
1854,LINGUICA PAIO PIF PAF 370G-PC,PAIO,LINGUIÇA
1855,CRAVO INDIA KITANO 40G,CRAVO,CONDIMENTO NATURAL
1856,PURIF AR PURIF AR BOM AR FRESHMATIC VIDA DOCE RF 250ML,REFIL,PURIFICADOR DE AR
1857,SAND AD HAVAIANAS LUNA PRINT 33/34 ROSA BALL,SANDÁLIA,CALÇADO ADULTO
1858,MACAXEIRA MMM KG,MANDIOCA,VEGETAL CONGELADO
1859,TAPIOCA ORGANIC ORGANICA PCT 400G,TAPIOCA,FARINÁCEO
1860,ESCOVA DENTAL DINOSSAUROS CONDOR,ESCOVA DENTAL BÁSICA,ESCOVA DENTAL ADULTO
1861,MARCADOR PERMANENTE BIC AZUL C/1,MARCA TEXTO,MATERIAL ESCOLAR
1862,EMBALAGEM WYDA PRATIC ALUMINIO D7-750ML,EMBALAGEM,DESCARTÁVEIS ALUMÍNIO
1863,LEITE SOJA SOYMILKE 300G SACHE,TRADICIONAL,LEITE EM PÓ
1864,PORTA BOLO PLAST SANREMO CASAR RED,BOLEIRA,UTENSÍLIOS DE PLÁSTICO
1865,"REQUEIJAO CATUPIRY 180G, AZEITONA",SABORIZADO,REQUEIJÃO
1866,"VELA ANIV INDIPEL TRAVESSA, AZ N.0",VELA,ARTIGOS PARA FESTAS
1867,LAVA ROUPA EM PO 5kg OESTE AZUL,BÁSICO,LAVA ROUPA PÓ
1868,PREGADOR DE POLICARBONATO COM ARO DE ACO -DAISO,LÃ DE AÇO,ESPONJA DE AÇO
1869,ESTOJO YANGZI QUADRADO PRE BARQUINHO,ESTOJO,MATERIAL ESCOLAR
1870,FEIJAO CARIOCA DUBOM 1KG TP1,FEIJÃO CARIOCA,FEIJÃO
1871,ESCORREDOR DE TALHERES SEM TAMPA JAGUAR,ESCORREDOR LOUÇAS,UTENSÍLIOS DE PLÁSTICO
1872,PASCOA OVO NESTLE ALPINO MILK 350G,OVO DE PÁSCOA,OVO DE PÁSCOA
1873,SORVETE NESTLE GELATO 140G-PT VANIGLIA,POTE TRADICIONAL,SORVETE
1874,SAB GLIC.TRALALA BABY SUAVE 75G,SUAVE,SABONETE BARRA
1875,BISC WAFF TODDY BROWNIE PC 147G,WAFFER,BISCOITO
1876,CHOC BOMBOM LACTA VARIEDADE 332G,CHOCOLATE BOMBOM,BOMBONIERE
1877,PROTETIVO RADIADOR LUXCAR CONCENTRADO 1L,ÓLEO LUBRIFICANTE,AUTOMOTIVO ÓLEOS/ADITIVOS/FLUIDOS
1878,SUCO DO BEM TODO DIA CAJU 1L,REGULAR,SUCO PRONTO/NECTAR
1879,SUCO NATIVE MACA/TANG ORGANICO 200ML,REGULAR,SUCO PRONTO/NECTAR
1880,SANDALIA HAVAIANAS KIDS MAX HEROIS AZUL INDICO89 35/36,SANDÁLIA,CALÇADO INFANTIL
1881,LAVA LOUCA LIQ AMAZON H2O 500ML,LÍQUIDO NEUTRO,LAVA LOUÇA
1882,QUEIJO CABRA HOMMAGE VELDHUYZEN (PED) KG,CABRA,QUEIJO
1883,ABS INTIMUS SPORT ULTRAFINO SV C/ABA C/8,EXTERNO COM ABAS,ABSORVENTE
1884,FAROFA PRONTA KI-FLOR 250G TEMP PICANHA PICANTE,FAROFA PRONTA,FARINÁCEO
1885,AMEND SELECIONADO kg,AMENDOIM,SALGADINHO E APERITIVO
1886,"MOD ACHOC NUTRIWAY INST PC 1,001KG",ACHOCOLATADO,MODIFICADOR DE LEITE
1887,OLEO SOJA CONCORDIA LT 18L,ÓLEO DE SOJA,ÓLEO
1888,VASO DEC ACASA B CER 14CM BC 160190-1703,CERÂMICA,VASOS
1889,"DESINF BRILHANTE 1L, PINHO",PINHO,DESINFETANTE
1890,TAPETE CORTTEX GRAND PET ATT 40X60 VERD,TAPETES,CAPACHOS E TAPETES
1891,QUEIJO MINAS FRC.LIGHT BIMBO PC/PD KG,MINAS FRESCAL TRADICIONAL,QUEIJO
1892,CHICLE BUMBOL CERJ/FRAMB/LAR 3SAB 200G-DY C50,CHICLETE OUTROS SABORES,BOMBONIERE
1893,LAMPADA HAL CLASSIC A ECO OSRAM 127V70W,LÂMPADA,ILUMINAÇÃO
1894,DESINF PINHO BRIL C/2 GTS KALIPTO 500ML,PINHO,DESINFETANTE
1895,FUE IMP SILIC 8 CZ TF1021B,FUÊ,UTENSÍLIOS DE SILICONE
1896,MANJERONA CHINEZINHO 2G,MANJERONA,CONDIMENTO NATURAL
1897,FRIGIDEIRA MULTIFLON BELLA MINERAL 20CM,FRIGIDEIRA,UTENSÍLIOS DE INOX/ALUMÍNIO
1898,DESO AERO NIVEA FEM ACTIVE DRY FRESH 150ML,AEROSOL COM PERFUME,DESODORANTE MASCULINO
1899,CHUPETA MAM SILK TOUCH ORIG GIRL 6+ 2634,CHUPETA,PUERICULTURA
1900,GOIABADA MINAS MAIS 300G,GOIABADA,DOCE MASSA
1901,QUEIJO KAROL DEFU kg,OUTROS ESPECIAIS,QUEIJO
1902,TEMPERO DANI ALHO/PAPRICA 100G,TEMPERO PRONTO,TEMPERO
1903,SUP ALIM INF SUSTAGEN KIDS MOR SC 190G,FÓRMULAS INFANTIS / SUPLEMENTO ALIMENTAR,NUTRIÇÃO INFANTIL
1904,BALA MASTIG SANTA FE AZEDINHA SORTIDA 600G,BALAS - MASTIGÁVEIS,BOMBONIERE
1905,LIXA UNHA BELLIZ BLOCO MODELADOR,LIXA UNHA,ACESSÓRIOS MÃO E PÉ
1906,LUMINARIA LED - VELA MAGICA (A E PARA ACENDER -DAISO,LUMINARIA,ILUMINAÇÃO
1907,SUCO CONC MAGUARY LARANJA 500ML,REGULAR,SUCO CONCENTRADO
1908,HIDRAT LOC CORPO MONANGE FLOR CER 200ML,HIDRATAÇÃO,HIDRATAÇÃO PARA O CORPO
1909,CAFE CAPPUCCINO PILAO VANILLA DREAMS 200G,CAPPUCCINO TRADICIONAL,CAFÉ
1910,BICARBONATO SODIO AMIL 30G .,BICARBONATO,CONDIMENTO NATURAL
1911,ESPELHO BW 36X46 NATURAL 2CM,ESPELHO,ESPELHO
1912,LIMAO CHINA kg,LIMÃO,CONDIMENTO NATURAL
1913,T.IMEDIA EXC.KIT LV2 DESC.40% 6.1 LO.ESC.AC,PERMANENTE LOURO,COLORAÇÃO FEMININA
1914,COLOMBA GOTAS 250G,GOTAS DE CHOCOLATE,COLOMBA PASCAL
1915,CAFE CAPS PILAO SPLENDENTE 52G C/10,CÁPSULA EXPRESSO,CAFÉ
1916,QUEIJO MINAS PADRAO kg LACFREE,MINAS PADRÃO TRADICIONAL,QUEIJO
1917,ESC CAB DEC HAIR ALL DAY 1UN-SM FLEXL OVAL,ESCOVA PARA CABELO,ACESSÓRIOS PARA CABELO
1918,ESC D CLEAN AQUA 30 A IDEAL PERIO MC,ESCOVA DENTAL DESEMPENHO,ESCOVA DENTAL ADULTO
1919,INTIMUS ENLACE MALHA SUAVE LEVE 22 PAGUE 16 C/ABAS,EXTERNO COM ABAS,ABSORVENTE
1920,CERV SKOL PURO MALTE LT 350ML PACK C/18,PURO MALTE,CERVEJA
1921,MARIOLA BANANA GUIMARAES ORG 150G,MARIOLA,DOCE PASTA
1922,LEITE COLONIA HOLANDESA SEMI DESN TP 1L,SEMI DESNATADO,LEITE UHT
1923,BATOM MAYB COLOR SENS DIVANDO 105,BATOM MATTE,MAQUIAGEM
1924,ESPONJA SCOTCH BRITE LARANJA C/3,MULTIUSO,ESPONJA SINTÉTICA
1925,BATATA MALAIA CHIPS TEX QUEIJO 160G-TB,BATATA REGULAR,SALGADINHO E APERITIVO
1926,COND ELSEVE QUERA LISO HIDR 200ML,LISO,CONDICIONADOR
1927,PIMENTA AMIL 900ML CUMARI .,PIMENTA CUMARI,CONDIMENTO NATURAL
1928,FARINHA TRIGO D.MARIA 1KG,FARINHA DE TRIGO,FARINÁCEO
1929,DESINF CLASSIC CAPIM LIMAO 2L,DILUÍDO,DESINFETANTE
1930,SAB BAR BIOCREMA HIDRATANTE 90G,HIDRATANTE,SABONETE BARRA
1931,GELEIA CIA ERVAS 260G MENTA,GELEIA TRADICIONAL,GELÉIA
1932,MOP BETTANIN NOVICA LIMP VIDR REF BT192R,MOP,PANOS/FLANELAS
1933,LAVA AUTO V8 500ML C/CERA .,LAVA AUTO COM CERA,AUTOMOTIVO LIMPEZA
1934,LENTILHA COMUM kg,LENTILHA,GRÃOS/CEREAIS
1935,FILTRO PAPEL ITAMARATY 103,FILTRO DE PAPEL,UTENSÍLIOS PARA CAFÉ
1936,ACUCAR CRISTAL 5kg PEROLA 6X1,CRISTAL,AÇÚCAR
1937,GOLDEN CURRY S&B 92G CHUKARA,CURRY,CONDIMENTO NATURAL
1938,SAL AMONIACO VERANITA 45G,SAL AMONÍACO,SAL
1939,BISC RECH TRAKINAS AVELA 154G,RECHEADO,BISCOITO
1940,TOALHA PISO COTEMINAS CEDRO TURQUESA,TOALHA DE PISO,BANHO
1941,LIXEIRA SANREMO BASC 6.5LT 278,LIXEIRA,LIXEIRA
1942,MOLHO TOM.SALSARETTI 500G FUNGHI VD,TRADICIONAL,MOLHO DE TOMATE
1943,PANO PRATO ZENALETI C OVERLOQUE 36X65CM,PANO DE PRATO,PANOS/FLANELAS
1944,ESPETO TRAMONTINA P/CHURRAS INOX FINO,ESPETO DE METAL,CHURRASCO
1945,ENERGETICO RED HOT 1L,TRADICIONAL,ENERGÉTICO
1946,ALHO CEBOLA E SALSA SIAMAR 25G,ALHO OUTROS,CONDIMENTO NATURAL
1947,SUCO PTO SUFRESH UVA LIGHT 200ML,LIGHT,SUCO PRONTO/NECTAR
1948,PRATO SOBREMESA QUARTIER BCO 20CM,PRATO,UTENSÍLIOS DE PORCELANA/CERÂMICA
1949,"MARMITA TECKOR 1,5 L SOPRANO BEGE",MARMITA,UTENSÍLIOS DE PLÁSTICO
1950,MAQ CAFE ESPRES TRES MIMO VM 127V,MÁQUINA CAFE,CAFETEIRA/CHALEIRA ELETRICA
1951,JG TOALHA TEKA D SOLARE 2PCS BC,TOALHA,BANHO
1952,PALETA BOV FRIBOI (BIFE) KG,PALETA,BOVINO RESFRIADO
1953,LIVRO CIRANDA DA LEITURA R$ 7.90,LIVROS,LIVROS
1954,DOCE LEITE PE DA SERRA C MORANGO 16G,DOCE DE LEITE,DOCE PASTA
1955,BISC PREZUNIC POLVILHO SALG 200G,BISCOITO POLVILHO SALGADO,SALGADINHO E APERITIVO
1956,MASSA PASTA ZARA SPAGHETTI PCT 500G,ESPAGUETE,MASSA SECA
1957,NOZES LA VIOLETERA S/CASCA 100G,NOZES,FRUTA SECA
1958,MELADO CANA SUPERBOM CANA 330G-VD,MELADO DE CANA,SAUDÁVEL
1959,SABONETE 180g BIOFLEUR FOR MEN,PERFUMADO,SABONETE BARRA
1960,MESA LATERAL ACASA R METAL ROSE G 790,CACHEPÔ,VASOS
1961,CAPA ALMOFADA ACASA N JAC ROS 45X45 3103,CAPA DE ALMOFADA,ALMOFADAS
1962,SALADA GREGA BOM GOSTO 300G,SALADA,SALADA
1963,FLANELA NOVO MUNDO 38X58CM,FLANELA GRANDE,PANOS/FLANELAS
1964,SNACK POPLEV ERVAS FINAS S/G S/L 50G,SNACK SEM GLÚTEN,SAUDÁVEL
1965,COUVE-FLOR BONDUELLE CONG.300G,COUVE-FLOR,VERDURAS
1966,AMENDOIM KININO RUNNER 500GR BCO .,AMENDOIM,SALGADINHO E APERITIVO
1967,OVO YANAKA BCO EXTRA C/20 C/FILME RESINI,OVOS BRANCOS,OVOS
1968,BOBS DE POLIURETANO PARA CABELO -DAISO,ESCOVA PARA CABELO,ACESSÓRIOS PARA CABELO
1969,PORTA ESCOVA DENTAL CORPUS .,PORTA ESCOVAS,PORTA ESCOVAS
1970,SILICONE AEROSOL 400ml DESTAQUE LAVANDA,SILICONE,AUTOMOTIVO LIMPEZA
1971,SALGADINHO PLINC SHOW 50G CEBOLA E SALSA,SALGADINHO DE TRIGO,SALGADINHO E APERITIVO
1972,"ABRACADEIRA NYLON MULTI-USO 3,6MM PRETA C/50",ABRAÇADEIRA,HIDRÁULICA
1973,PIMENTA ISHASHI REINO GRAO 40G,PIMENTA DO REINO,CONDIMENTO NATURAL
1974,CIGARRO MARLBORO BLUE ICE MACO RSP C/10,CIGARRO,CIGARRO
1975,VINHO CHILENO APALTAGUA SYRAH RES 750ML,VINHO CHILENO,VINHO
1976,VINHO ALMADEN 750ML SHIRAZ TTO,VINHO TINTO,VINHO
1977,OLEO NAT AROMATEC EUCALIPTO 140ML,ÓLEO,PURIFICADOR DE AR
1978,WHISKY TALISKER 10Y GFA 750ML,IMPORTADO,WHISKY
1979,VINHO ITALIANO MARSALA RESERVA SICILIA 750ML,VINHO ITALIANO,VINHO
1980,CHICLE ARCOR BIG BIG HORTELA 47G,CHICLETE OUTROS SABORES,BOMBONIERE
1981,MASSA PIZZA FIORELLI 300G F30 CJ,PIZZA REGULAR,MASSA FRESCA
1982,BALA PIETROBON 250GR TUTTI FRUTI SMILE,BALAS - MASTIGÁVEIS,BOMBONIERE
1983,SH ELSEVE CITRUS 400ML,HIDRATAÇÃO,SHAMPOO
1984,MAC LA VENEZIANE 200G FUSILLI S/GLUTEN,FUSILLI,MASSA SECA
1985,KIT MASSINHA ACRILEX MINI CHEF,MASSINHA,BRINQUEDOS UNISEX
1986,PRATO PAPELAO REGINA N.7 5UN,PRATO,ARTIGOS PARA FESTAS
1987,BAUD GOIABINHA GRANEL 30G,PÃO DE MEL,BOMBONIERE
1988,AVENTAL DIA A DIA INFANTIL 340 01,AVENTAL,MESA
1989,BALDE P/GELO C/PEGADOR BLCV007,BALDE DE GELO,UTENSÍLIOS DE INOX/ALUMÍNIO
1990,PANELINHA ESPERTA 075 .,MISTURAS,FARINÁCEO
1991,ESGUICHO UD PLASTICO GIGANTE,EXTENSÃO,ELÉTRICA
1992,CABIDE KREA MADEIRA P/PORTA C/6 GANCHOS,CABIDE,ACESSÓRIOS DE LAVANDERIA
1993,NECTAR GLUGS MARACUJA TP 200ML,REGULAR,SUCO PRONTO/NECTAR
1994,REFRESCO EM PO 1kg QUALIMAX CAJU,CAJU,REFRESCO EM PÓ
1995,MASSA DE CECCO PENNE RIGATE INT 500G,PENNE,MASSA SECA
1996,ORGANIZADOR SANREMO MD 29L SR941/8,CAIXA ORGANIZADORA,ORGANIZADOR
1997,SAND (f) HAVAIANAS FLAT M 39/0 AZ/ICE PI,SANDÁLIA,CALÇADO ADULTO
1998,BALA DROPS PAST FREEGELLS NECTAR TANG 380G-DY C/12UN,BALAS - DROPS E PASTILHA,BOMBONIERE
1999,VINHO CHILENO TRIO CASABL.BCO CHARDONNAY 750ML,VINHO CHILENO,VINHO
2000,JG TOALHA BUDDEMEYER CRYSTAL 2PCS BC,TOALHA,BANHO
2001,"LEITE FERM O%GORD ACTIVIA 1,25KG MORANGO",FUNCIONAL SABORIZADO ZERO,LEITE FERMENTADO
2002,SALAME MILANO BERETTA FATIADO 80G,MILANO,SALAME
2003,COPO PLASUTIL 320ML THOR,COPO,UTENSÍLIOS DE PLÁSTICO
2004,SAB BAR GIOVANNA BABY MOMENTS CLASSIC 90G,BÁSICO,SABONETE BARRA
2005,"SANGRIA VINHO SAO BRAZ TTO SV 4,6L",SANGRIA,VINHO
2006,NITROMPLAST PTA ESCOVA GDE C/TAMPA,CAIXA ORGANIZADORA,ORGANIZADOR
2007,CADEIRA PLAST EUROPLAST BISTRO 1UN BCA,CADEIRA,CAMPING/PESCA
2008,"MARMIBOX NITRONPLAST 103 C/DIV 1,2LT",PORTA MANTIMENTO,UTENSÍLIOS DE PLÁSTICO
2009,XICARA CASA C/PIRES R CHA AQUA004,XÍCARA COM PIRES,UTENSÍLIOS DE PORCELANA/CERÂMICA
2010,ESM RISQUE RENDAS BRASIL 1UN-SM TULE,ESMALTE,ESMALTE
2011,FORNO MICR LG 30L BC 220V MS3052R,CONVENCIONAL,MICROONDAS
2012,AVELA C/ CASCA KG,AVELÃ,FRUTAS
2013,VELA ROMANA SUPER N 0 BRANCA,VELA,ARTIGOS PARA FESTAS
2014,JG CAMA TEKA SOLTEIRO 2 PCS CZ,JOGO DE CAMA,CAMA
2015,PASCOA OVO LACTA CONFETI MIX 235G,OVO DE PÁSCOA,OVO DE PÁSCOA
2016,"JARRA NOBILE 1,5L CISPER REF 39734",JARRA/GARRAFA,UTENSÍLIOS DE VIDRO
2017,FRIGIDEIRA ANTI ADERENTE GANDA 28CM,FRIGIDEIRA,UTENSÍLIOS DE INOX/ALUMÍNIO
2018,SACO DE ALGODAO 42x66cm DFCOPA,PANO MULTIUSO,PANOS/FLANELAS
2019,BROCOLIS LYS NINJA UN,BRÓCOLIS,VERDURAS
2020,VINHO CHILENO TABALI RES ESP SYRAH 750ML,VINHO CHILENO,VINHO
2021,MULTIPROC WALITA 4X1 PT 600W 220V RI7630,MULTIPROCESSADOR,PROCESSADOR DE ALIMENTOS
2022,ADOCANTE JASMINE STEVINE FR 80ML,SUCRALOSE,ADOÇANTE
2023,PERFUME SHAKIRA DANCE EDT 30ML,PERFUMES,PERFUMAÇÃO
2024,VELA DONA CLARA N6,VELA,ARTIGOS PARA FESTAS
2025,SANDALIA IPANEMA ANATOMICA SOFT AZ 37,SANDÁLIA,CALÇADO ADULTO
2026,QUEIJO PORTO ALEGRE M FRESCAL kg .,MINAS FRESCAL TRADICIONAL,QUEIJO
2027,VINHO CHILENO SANTA RITA 120 SYRAH 750ML,VINHO CHILENO,VINHO
2028,COENTRO HIDROPONICO UN .,COENTRO,VERDURAS
2029,CACAROLA C/ CABO nr20 ALUMAX,CAÇAROLA,UTENSÍLIOS DE INOX/ALUMÍNIO
2030,T NATUCOR PO 24G 4.0 AVELA,PERMANENTE VERMELHO,COLORAÇÃO FEMININA
2031,VINHO NACIONAL GOES TTO SUAVE 4.5L,VINHO NACIONAL,VINHO
2032,POTE PLASUTIL TRIO RT BX 350ML 5995,POTES,UTENSÍLIOS DE PLÁSTICO
2033,VAGEM MANTEIGA LIRIO DO VALE 400G,VAGEM,LEGUMES
2034,BEBIDA LAC POLIMINAS 900GR MORANGO,BEBIDA LÁCTEA,IOGURTE
2035,COXA FRANGO NOBRE SP BJ 700G,COXA,AVE RESFRIADA
2036,FRITA FACIL POLIDO C/PENEIRA 20,PENEIRA,UTENSÍLIOS DE INOX/ALUMÍNIO
2037,PANO CHAO MULT USO LUSTRA MIL UNID,PANO MULTIUSO,PANOS/FLANELAS
2038,FARINHA FITNUTS UVA PT 250G,UVA,FARINÁCEO
2039,GEL FIX CHARMING FORTE AERO 400ML,FIXADOR,FIXADOR DE CABELO
2040,CACHACA PREM 30 LUAS 500ML,TRADICIONAL,AGUARDENTE/CACHAÇA
2041,SAB KANITZ MUCH LOVE 160G-PT VERDE,BÁSICO,SABONETE BARRA
2042,DES ROLL REXONA NATURALS BALANCE 50ML,ROLL ON COM PERFUME,DESODORANTE FEMININO
2043,PANETTONE NEWBREAD 400GRS TRADICIONAL,CHOCOLATE,PANETONE
2044,WRAP ATELIE SALMAO 170G,WRAP,LANCHE PRONTO
2045,GARFO DESC GOLDENPLAST SOBREMESA BRANCO C/50,TALHERES,ARTIGOS PARA FESTAS
2046,COLCHA BUDDEMEYER D IN DESIGN KING CH,COLCHA,CAMA
2047,VINHO MOMENTOS RES CARMENERE 750ML TTO SC,VINHO TINTO SECO,VINHO
2048,TEMPERO P/MOLHO VINAGRETE SABOR 40G PET,TEMPERO PRONTO,TEMPERO
2049,PASCOA OVO TOP CAU AO LEITE 270G,OVO DE PÁSCOA,OVO DE PÁSCOA
2050,BROWNIE S/LACT BELIVE 40G-CHOC,BROWNIE,BOLOS
2051,REPAR PONTAS DOVE PONTAS DUPLAS 28ML,REPARADOR DE PONTA,TRANSFORMAÇÃO CABELOS
2052,AMPOLA TRAT FRUCTIS MILAGRE FRESCOR VITAMINA C/3,AMPOLA,TRANSFORMAÇÃO CABELOS
2053,QUEIJO EDAM TIROLEZ SKIN PACK KG,OUTROS ESPECIAIS,QUEIJO
2054,BISC ROSCA ERIKA 300G COCO,COCO,BISCOITO
2055,PRATO GERMER CHEVRON SOBREM AZ 4.3564220,PRATO,UTENSÍLIOS DE PORCELANA/CERÂMICA
2056,MEU JANTARZINHO GERMANO 51894,FAZ DE CONTA,BRINQUEDOS MENINAS
2057,ESCOVA DE PLASTICO PARA CABELO - ANTI ELETRICI -DAISO,ESCOVA PARA CABELO,ACESSÓRIOS PARA CABELO
2058,BOLSA TERM 2GO BAG SPORT MINI MARSALA,BOLSAS/CAIXAS TÉRMICAS,TÉRMICOS
2059,VINHO CHILENO 187ml PAISAJES DE CHILE MERLOT,VINHO CHILENO,VINHO
2060,DESCOL PO BIOCOLOR 50G PROTN QUERAT/PROFIS,DESCOLORANTE PARA CABELO EM PÓ,COLORAÇÃO FEMININA
2061,PIM BIQUINHO C/CEB KODILAR 320GR,PIMENTA BIQUINHO,CONDIMENTO NATURAL
2062,VELA KIREY ESTRELA C/3 ROSA N.1,VELA,ARTIGOS PARA FESTAS
2063,PAO PEPPITO 500GR SOVADO .,SOVADO,PÃES
2064,POTE SANREMO VAC AZ 4500ML RET SR390/5,POTES,UTENSÍLIOS DE PLÁSTICO
2065,FRALDA PAMPERS CONFORT SEC XG C/34UN,ALTA PERFORMANCE M,FRALDA INFANTIL
2066,BOLA NATAL NSW BCA 10CM C/2 SDA136680W10,BOLA DE NATAL,ENFEITES DE NATAL
2067,"CHOC TAB SUFLAIR ONE AO LEITE 20,5G",CHOCOLATE TABLETE,BOMBONIERE
2068,DES AERO REXONA COTTON DRY 150ML GTS 30ML,AEROSOL COM PERFUME,DESODORANTE FEMININO
2069,CROCANTISSIMO 40g INT AZEITE,SAUDÁVEL,BISCOITO
2070,BISC INT BAUDUCCO CEREALE BANANA 25G,INTEGRAL,BISCOITO
2071,CEREAL MAT ACUC SNOW FLAKES SC 30G,AÇUCARADO,CEREAL MATINAL
2072,CERV HEINEKEN LT 350ML,PREMIUM,CERVEJA
2073,PROT SOLAR CENOURA BRONZE FPS15 110ML,FPS 30,PROTETOR SOLAR CORPORAL
2074,ALFACE MINI MIMOSA DEVILE ROXA HIDRO UN,ALFACE,VERDURAS
2075,VINHO BCO YARDEN 750ML CHARD ISR,VINHO BRANCO,VINHO
2076,KIT MICEL LRP 200ML GANH 50% MICEL 100ML,ÁGUA MICELAR,LIMPEZA DO ROSTO
2077,QUEIJO COTTAGE LACFREE VERDE CAMPO 200G,COTTAGE,QUEIJO
2078,COCO RALADO MAIS COCO ADOCADO 100G,COCO RALADO,DERIVADOS DO COCO
2079,ESM RISQUE CAMPEAO MET SHOW BOLA 1UN-SM,ESMALTE,ESMALTE
2080,SALSA HORTA E SAUDE ORG UN,SALSA,VERDURAS
2081,LAMPADA FOXLUX ELETRONICA ESPIRAL 127X25W,LÂMPADA,ILUMINAÇÃO
2082,BISC SAL C CRACK RENATA 360G,CREAM CRACKER,BISCOITO
2083,COMINHO ALHEIRO 7G-PC,COMINHO,CONDIMENTO NATURAL
2084,PEGADOR MULTI-USO DE PLASTICO 84CM -DAISO,PEGADOR,UTENSÍLIOS DE PLÁSTICO
2085,"MAC C OVOS PETYBON 500G, PARAFUSO",PARAFUSO,MASSA SECA
2086,SORVETE MAROMA CHOC BRANCO ZERO LACT 1L,POTE TRADICIONAL,SORVETE
2087,BEB SOJA PURITY LARANJA 1L,LARANJA,BEBIDA A BASE DE SOJA
2088,MAIONESE CHAPADAO 6GX176UN-CX,TRADICIONAL,MAIONESE
2089,"IOG NAT FAZENDA 170GR, C MEL",NATURAL,IOGURTE
2090,CERV EISENBAHN GOLDN ALE LN 355ML C/6,ESPECIAIS,CERVEJA
2091,BISC TORTI NESTLE CLASSIC DUO 152G,TORTINHA,BISCOITO
2092,MASSA FR NHOQUE FRESC PASTANINNA 500G,NHOQUE,MASSA FRESCA
2093,ALIM GATO BAWWAW 1KG- ADULTO CARNE /ARRZ,SECO,ALIMENTO PARA GATOS
2094,VINHO ARG CAFAYATE VARIETAL 750ML ROSE,VINHO ARGENTINO,VINHO
2095,PIMENTA CIA DAS ERVAS 135G VERMELHA,PIMENTA OUTRAS,CONDIMENTO NATURAL
2096,CAFETEIRA CADENCE 2X AM 220V CAF110,CAFETEIRA,CAFETEIRA/CHALEIRA ELETRICA
2097,DOCE LEITE KG,DOCE DE LEITE,DOCE PASTA
2098,REFRIG YAS UVA 250ML,UVA,REFRIGERANTES
2099,VELA TEIU C/2UN 90G,VELA,ARTIGOS PARA FESTAS
2100,ACENDEDOR ALCOOL GEL PRIME GRILL FR 430G,ÁLCOOL EM GEL,ÁLCOOL
2101,SACOLA FEST LAR C/100 URSINHO,SACOLA,ARTIGOS PARA FESTAS
2102,VASO VIDRO BRUXELAS TUBO 25CM 10110,VIDRO,VASOS
2103,MAC DELVERDE 500G PC INTEG FUSILLI,FUSILLI,MASSA SECA
2104,TOFU ORG PREM SAMURAI 100G DEFUMADO,TOFU,COMIDA ORIENTAL
2105,CANECA ACASA D LIMESTONE 320ML 15044,CANECA,UTENSÍLIOS DE PORCELANA/CERÂMICA
2106,SAB BAR JOHNSONS MEL/LINHACA 90G,HIDRATANTE,SABONETE BARRA
2107,FRALDA HUGGIES TMONICA TRIPLA PROTECAO JUMBO P 36,INTERMEDIÁRIA M,FRALDA INFANTIL
2108,PASTILHA TIC TAC THE SIMPSONS CX 16G,BALAS - DROPS E PASTILHA,BOMBONIERE
2109,KIT SH+COND FRUCTIS STOP QUEDA 200ML PRECO ESPEC,KIT SHAMPOO E CONDICIONADOR,KIT CABELOS ADULTOS
2110,SACO PRESENTE INF SORT C FITA C 3 30X45,SACO DE PRESENTE,PAPELARIA
2111,PREPARO MAGGI FGO.CAIPIRA P/EMPANAR 30G,OVOS CAIPIRAS,CONDIMENTO NATURAL
2112,NECESSAIRE DE POLIESTER COM ZIP ARA V -DAI,NECESSAIRES,NECESSAIRES
2113,SAND AD HAVAIANAS COLOR 35/36 LAR/NEON,SANDÁLIA,CALÇADO ADULTO
