DESCRIÇÃO PARCEIRO,SUB-CATEGORIA,CATEGORIA,DEPARTAMENTO
MANTA ACASA MESC CINZA 125X150 2015,MANTA,CAMA,"CAMA, MESA E BANHO"
VINHO CHILENO DONA DOMINGA RESV CABER SAUV SEC 750ML,VINHO CHILENO,VINHO,BEBIDAS ALCOÓLICAS
SAB BAR ANTIBAC FRANCIS SUAVE LTE FLORES PINK 90G,ANTI-BACTERIANO,SABONETE BARRA,HIGIENE PESSOAL
AZEITONA VDE CAMPO BELO 200G VD.,VERDE COM CAROÇO,AZEITONA,MERCEARIA SALGADA
FINESSE SEARA FRANGO FAT,AVE INTEIRA,AVE RESFRIADA,AÇOUGUE
MOLHO TOM VAL TRAD SC 2KG,TRADICIONAL,MOLHO DE TOMATE,MERCEARIA SALGADA
ESC DENTAL KESS EVER AFTER HIGH C/CAPA,ESCOVA DENTAL DESEMPENHO,ESCOVA DENTAL ADULTO,HIGIENE ORAL
CAMARAO ATLANTIS DESC 400G CONG COZ 36/40,CAMARÃO,FRUTOS DO MAR CONGELADOS,PEIXARIA
FRALDA HUPPY BABY PLUS MD 90,BÁSICA M,FRALDA INFANTIL,HIGIENE PESSOAL INFANTIL
LAPISEIRA LEO & LEO SOFT 0.7 C/GRAF,LAPISEIRA,MATERIAL ESCOLAR,PAPELARIA
LASANHA AURORA BOLONHESA CONG 600G,BOLONHESA,LASANHA,PRATOS PRONTOS
BOWL CERAM YOI RELIEVE 550ML SORT ACGUA/VRM/LAR,BOWL,UTENSÍLIOS DE PORCELANA/CERÂMICA,UTILIDADES DE COZINHA
GRANOLA LEVE CROCK S/GLUTEN BIOMASSA/GOJI 200G.PC,GRANOLA,SAUDÁVEL,MERCEARIA DOCE
MANGA COITE KG,MANGA,FRUTAS,HORTIFRUTI
MIXER WALITA 2X1 PT 250W 220V RI1602/90,MIXER,PROCESSADOR DE ALIMENTOS,ELETRO
GOIABADA PREDILECTA CREMOSA PT 230G,GOIABADA,DOCE MASSA,MERCEARIA DOCE
CAPA ALMOFADA IMP ACASA R 45X45 RS/CZ 83,CAPA DE ALMOFADA,ALMOFADAS,DECORAÇÃO
TEMPERO JIMMI 80G FRASCO P/PEIXES,TEMPERO PRONTO,TEMPERO,MERCEARIA SALGADA
LIMP PERF VEJA NAT CAMPESTRE 1L,CAMPESTRE,LIMPADOR MULTIUSO,CUIDADOS COM A CASA
VINHO ARGENTINO SANTA ANA SELECAO BCO 700ML,VINHO ARGENTINO,VINHO,BEBIDAS ALCOÓLICAS
PASCOA OVO NESTLE SURPRESA AVIOES 180G,OVO DE PÁSCOA,OVO DE PÁSCOA,MERCEARIA DOCE
PASTILHA ADESIVA 3und SANYMIX LAVANDA,PASTILHA,LIMPEZA SANITÁRIA,CUIDADOS COM O BANHEIRO
CEBOLINHA SATO MC,CEBOLINHA,LEGUMES,HORTIFRUTI
ESCOVA CONDOR LAVA CANTO,LIMPEZA,ESCOVAS,LAVANDERIA
CHOC JUBILEU PLUS NOIR MENTA 100G,CHOCOLATE BARRA,BOMBONIERE,MERCEARIA DOCE
DOCE LASSA 320G DE LEITE,DOCE DE LEITE,DOCE PASTA,MERCEARIA DOCE
AZEITONA VDE DIZA 80G S/CAROCO,VERDE SEM CAROÇO,AZEITONA,MERCEARIA SALGADA
COGUMELO TIO PACO FAT 200G,FATIADO,COGUMELO,MERCEARIA SALGADA
LIMP PERF ZAP CLEAN ROSA 1L,PERFUMADO,LIMPADOR MULTIUSO,CUIDADOS COM A CASA
SALGADINHO DE TRIGO 50g PETICITOS CHURRASCO,SALGADINHO DE TRIGO,SALGADINHO E APERITIVO,MERCEARIA DOCE
TAPETE CORTTEX ELEMENTAR AREIA,TAPETES,CAPACHOS E TAPETES,DECORAÇÃO
AZEITONA VDE LINA 350G VD,VERDE COM CAROÇO,AZEITONA,MERCEARIA SALGADA
PEPINO TORRE BELLA CORNICHON VD 200G,PEPINO,PEPINO EM CONSERVA,MERCEARIA SALGADA
AZEITONA VERDE DOM FIORELO RECH PIM 100G,VERDE FATIADA/RECHEADA,AZEITONA,MERCEARIA SALGADA
PAPEL TOALHA C/2 FLORAX,PAPEL TOALHA,PAPEL TOALHA,DESCARTÁVEIS
IOGURTE TIROL FRUTAS/CEREAIS 830G,TRADICIONAL,IOGURTE,IOGURTES
DOCE PACOCA SAO JOSE PACOCA CASEIRA 150G,PAÇOCA,DOCE TABLETE,MERCEARIA DOCE
AMORA PE DE FRUTA CONG 300G,AMORA,FRUTAS,HORTIFRUTI
QUEIJO TIROLEZ COALHO KG,COALHO,QUEIJO,FRIOS
ARROZ INTEG CAMIL MIN CASEIRO 240G,INTEGRAL,ARROZ,MERCEARIA SALGADA
ACUCAR REFINADO 1KG,MASCAVO,AÇÚCAR,MERCEARIA DOCE
LINGUICA MACHULEK PURA DEFUMADA KG,TRADICIONAL,LINGUIÇA,EMBUTIDOS
LIXEIRA TRAMONTINA INOX C/PEDAL 3L,LIXEIRA,LIXEIRA,LAVANDERIA
SALAME SEARA ITALIANO KG,ITALIANO,SALAME,FRIOS
TAPETE PLASTICO REF:93086 36X65 BOX,TAPETES,CAPACHOS E TAPETES,DECORAÇÃO
ALFAJOR DIET SUAVIPAN ACUC CHOC AO LEITE 2X25G-CX ZERO,ALFAJOR,BOMBONIERE,MERCEARIA DOCE
SH PALMOLIVE CAB NORMAIS 350ML,CABELOS NORMAIS,SHAMPOO,CUIDADOS COM O CABELO
"BALA MENTOS ICE MINT C/3 112,5G",BALAS - DROPS E PASTILHA,BOMBONIERE,MERCEARIA DOCE
SH BELLO PROT CITRUS 5L,CABELOS OLEOSOS,SHAMPOO,CUIDADOS COM O CABELO
"ELIM ODORES BAW WAW 2L, HERBAL",ELIMINADOR DE ODOR,HIGIENE/LIMPEZA PET SHOP,PET SHOP
CEREAIS BARRA RITTER LIGHT 25G MORANGO/CHOC,LIGHT,BARRA DE CEREAL,MERCEARIA DOCE
"VASO PLAST ROMANO 0 CAC 12,5CM",VASO,JARDINAGEM PLANTAR,JARDINAGEM
SAND (f) HAVAIANAS HYPE 43/4 AREIA,SANDÁLIA,CALÇADO ADULTO,CALÇADO
SOMBRA ELKE COBRE N.31 UNITARIA,SOMBRA,MAQUIAGEM,CUIDADOS COM O ROSTO
IOGURTE 180g CANTO DE MINAS COCO,TRADICIONAL,IOGURTE,IOGURTES
SUCO INT MONTE VENETO 1L MACA/UVA,INTEGRAL,SUCO PRONTO/NECTAR,BEBIDAS NÃO ALCOÓLICAS
POLPA POMAR DA POLPA 100G CAJU,CAJU,POLPA DE FRUTA,CONGELADOS DOCES
CHA MATE LEAO NATURAL PET 300ML,MATE,CHÁ PRONTO,BEBIDAS NÃO ALCOÓLICAS
MACARRÃO.CASEIRO GRAVATINHA 50OG,MASSA GRAVATINHA,MASSA SECA,MERCEARIA SALGADA
ESMALTE LATIKA PINA JOY 9ML,ESMALTE,ESMALTE,CUIDADOS COM MÃOS E PÉS
TALCO ANTIS MURIEL VIRTUAL PERF. CARMINE 100G,TALCO ANTISSÉPTICO,TALCO ANTISSÉPTICO,CUIDADOS COM O CORPO
IOG.INT.YORGUS DUO MEL+MIX 115G,INTEGRAL,IOGURTE,IOGURTES
SHAMPOO TRANSFORMERS 300ML,USO DIÁRIO,SHAMPOO INFANTIL,HIGIENE PESSOAL INFANTIL
RAINHA DA CANA 700ML SABORES MILO VERDE,SABORIZADA,AGUARDENTE/CACHAÇA,BEBIDAS ALCOÓLICAS
ASP PO VERT ELECTROLUX BIV ERGO14,VERTICAL,ASPIRADOR,ELETRO
CAFE C LEITE NESCAFE 330G,CAFÉ COM LEITE TRADICIONAL,CAFÉ,MERCEARIA DOCE
FARINHA MAND KI-FLOR 1kg TORRADA .,FARINHA DE MANDIOCA,FARINÁCEO,MERCEARIA DOCE
CHOC BOMBOM FERRERO COLLECTION 224G,CHOCOLATE BOMBOM,BOMBONIERE,MERCEARIA DOCE
LUSTRA MOVEIS POLIFLOR P SUAVE 200M,TRADICIONAL,TRATAMENTO DE MÓVEIS,CUIDADOS COM A CASA
BARRA CEREAL HERSHEYS 66G COOK/CREM(COB,REGULAR,BARRA DE CEREAL,MERCEARIA DOCE
CONFEITO CAPRI PIXULIM 10UN,CONFEITO CHOCOLATE,CONFEITOS,MERCEARIA DOCE
COPOS BICOLOR 300ml OXFORD LARANJA,COPO,UTENSÍLIOS DE PORCELANA/CERÂMICA,UTILIDADES DE COZINHA
BATATA BEM BATATA CARINHAS CONG.400GR,BATATA,VEGETAL CONGELADO,CONGELADOS SALGADOS
VINHO TERRAMIA 750ML CHIANTI,VINHO ITALIANO,VINHO,BEBIDAS ALCOÓLICAS
MOLHO KIKKOMAN TERIYAKI 250ML,MOLHOS,COMIDA ORIENTAL,MERCEARIA SALGADA
CORTADOR PIZZA TRAMONTINA EA VM 25225470,CORTADOR PIZZA,UTENSÍLIOS DE INOX/ALUMÍNIO,UTILIDADES DE COZINHA
ALFACE HIDROPONICO CHEIRO VERDE UND,ALFACE,VERDURAS,HORTIFRUTI
PA GALVANIZADA LOCATELLI 39X19CM CABO CURTO,PÁ DE LIXO,LIMPEZA,LAVANDERIA
SHAMPOO TONAL GRECIN CONTROLGX UN,TRATAMENTO,SHAMPOO,CUIDADOS COM O CABELO
ATUM ROBINSON CRUSOE 170G PED AO NATURAL,ATUM SÓLIDO NATURAL,PEIXE EM CONSERVA,MERCEARIA SALGADA
COUVE PICADA 200GR,COUVE,VERDURAS,HORTIFRUTI
FOLHA LOURO SIAMAR 7G,LOURO,CONDIMENTO NATURAL,MERCEARIA SALGADA
DOCE VIDA POLPA DE FRUTA 100g 4X1 ABAC,ABACAXI,POLPA DE FRUTA,CONGELADOS DOCES
BOLSA TERM 2GO BAG FUN MID BLACK,BOLSAS/CAIXAS TÉRMICAS,TÉRMICOS,LAZER/CAMPING
"LAVA ROUPA PO OMO MULTI ACAO 3,5KG",ALTA PERFORMANCE,LAVA ROUPA PÓ,CUIDADOS COM A ROUPA
"RACAO CAO COBY 10,1KG-SC",SECO,ALIMENTO PARA CÃES,PET SHOP
SAL GROSSO HIKARI 500G TRADICIONAL,SAL GROSSO,SAL,MERCEARIA SALGADA
BALA PECCIN TRIBALA MORANGO 500G,BALAS - MASTIGÁVEIS,BOMBONIERE,MERCEARIA DOCE
PALHETA VTO PVF26,PALHETA,AUTOMOTIVO ACESSÓRIOS,AUTOMOTIVO
"LAVA ROUPA BIOZ GREEN HOME 1,2L",BÁSICO,LAVA ROUPA LÍQUIDO,CUIDADOS COM A ROUPA
REFIL TIRA MANCHAS OMO ROUPA BRANCA 380G,TIRA MANCHA PÓ,TIRA MANCHA,CUIDADOS COM A ROUPA
COND BIORENE EQUILIBRIO SVE 300ML,OUTROS,CONDICIONADOR,CUIDADOS COM O CABELO
COPO REGINA 200ML C/8 MICKEY DIV,COPO,UTENSÍLIOS DE PLÁSTICO,UTILIDADES DE COZINHA
COMP ALIM NUTREN SENIOR BAUNILHA LT 370G,FÓRMULAS INFANTIS / COMPOSTO ALIMENTAR,NUTRIÇÃO INFANTIL,MERCEARIA DOCE
CANECA ACASA A SEA 001,CANECA,UTENSÍLIOS DE PLÁSTICO,UTILIDADES DE COZINHA
MAC NINFA INST 85GR GALINHA,INSTANTÂNEO GALINHA,MASSA SECA,MERCEARIA SALGADA
SALAME ITAL SADIA FAT 100G,ITALIANO,SALAME,FRIOS
FLOR NAT CALANDIVA P.08 1UN,CALANDIVA,"PLANTAS, FLORES E ACESSÓRIOS",JARDINAGEM
PAO MEL DULCE CATALINA 50G-PC,PÃO DE MEL,BOMBONIERE,MERCEARIA DOCE
CAFE GOURM MINAS ESTATE GRAO 1KG,GRÃO EXPRESSO,CAFÉ,MERCEARIA DOCE
ARROZ ARBOREO SAN FREDIANO 500G,ARBÓREO,ARROZ,MERCEARIA SALGADA
POTE PLASTICO PARIS DECORADO GALINHAS 600ML,POTES,UTENSÍLIOS DE PLÁSTICO,UTILIDADES DE COZINHA
ACUCAR REFINADO DUCULA PCT 5KG,REFINADO,AÇÚCAR,MERCEARIA DOCE
QUEIJO GRUYERE FORMA PRESIDENT KG,OUTROS ESPECIAIS,QUEIJO,FRIOS
ASSADEIRA NICOPAN RET BAIXA N.03 .,ASSADEIRA,UTENSÍLIOS DE INOX/ALUMÍNIO,UTILIDADES DE COZINHA
TEMPERO CANTINA MEXICANA TACO SEAS 70G,TEMPERO PRONTO,TEMPERO,MERCEARIA SALGADA
SANDALIA HAVAIANAS TOP ICE BLUE 39/40,SANDÁLIA,CALÇADO ADULTO,CALÇADO
FONE OUVIDO FASTPHONE GRANDE,FONE DE OUVIDO,ACESSÓRIOS ELETRO,ELETRO
TILAPIA FRITA SAO LUIZ KG,TILÁPIA,PEIXE RESFRIADO,PEIXARIA
AVE FIESTA SEARA ASSA FACIL DES RECH KG,AVE INTEIRA,AVE RESFRIADA,AÇOUGUE
PIM C/ COMINHO PO HIKARI 50G,PIMENTA OUTRAS,CONDIMENTO NATURAL,MERCEARIA SALGADA
LUVA VIP MULTIUSO M PCT C/1PAR,LUVA DE LÁTEX,LUVA,LAVANDERIA
BIFE LAGARTO FRIBOI RES kg PALHA BJ .,BIFE,BOVINO RESFRIADO,AÇOUGUE
DES STICK GILLETTE RUSH 82G,STICK COM PERFUME,DESODORANTE MASCULINO,CUIDADOS COM O CORPO
ESCOVA BANH ACASA D PT/MARM 0186A,ESCOVA DE BANHO,ACESSÓRIOS DE BANHO,CUIDADOS COM O CORPO
SAL ROSA HIMALAYA SMART FINO 1KG,SAL DO HIMALAIA,SAL,MERCEARIA SALGADA
NECTAR MARATA LARANJA TP 200ML,REGULAR,SUCO PRONTO/NECTAR,BEBIDAS NÃO ALCOÓLICAS
LIMP PESADA VEJA MACA VERDE 500ML,SEM CLORO,LIMPEZA PESADA,CUIDADOS COM A CASA
DES AERO JOHNSON ZERO PERF 150ML,AEROSOL SEM PERFUME,DESODORANTE FEMININO,CUIDADOS COM O CORPO
"CADERNO MAX UNIV 10X1 200FLS, X-GIRLS",CADERNO,MATERIAL ESCOLAR,PAPELARIA
CASTANHA CAJU KIDOCURA 80G,CASTANHA DE CAJU,OLEOGINÓSA,MERCEARIA SALGADA
SORVETE FRUT BISS 1L MENTA FLOCADO,POTE TRADICIONAL,SORVETE,CONGELADOS DOCES
SALADA DE FRUTA GREGO ANANAS 200G COPO,SALADA DE FRUTAS,FRUTAS,HORTIFRUTI
CHOC GAROTO 100G BRANCO,CHOCOLATE BARRA,BOMBONIERE,MERCEARIA DOCE
AGUA MIN INDAIA S/GAS 500ML,SEM GÁS,ÁGUA MINERAL,BEBIDAS NÃO ALCOÓLICAS
GELEIA SCHWARTAU DAMASCO NV VD 340G,GELEIA PREMIUM,GELÉIA,MERCEARIA DOCE
CHUPETA LILLO SILIC CLAS EX-AIR A6 SM 1UN,CHUPETA,PUERICULTURA,INFANTIL
LEITE JUSSARA MAX 1L SEMI-DESN PET,SEMI DESNATADO,LEITE UHT,LEITE
SHAM INF TURMA DA MONICA CHA DE CAMOMILA FR 400ML,CLAREADOR,SHAMPOO INFANTIL,HIGIENE PESSOAL INFANTIL
REPETIDOR INTELBRAS WIRELESS IWE3001,CONECTIVIDADE,ACESSÓRIOS ELETRO,ELETRO
CADERNO PANAMERICANA CD 1M 96F FLORAL,CADERNO,MATERIAL ESCOLAR,PAPELARIA
CORDA P/ VARAL SUPERCORDA N.5,CORDA PARA VARAL,ACESSÓRIOS DE LAVANDERIA,LAVANDERIA
QUEIJO GARDINGO PRATO kg .,PRATO,QUEIJO,FRIOS
ALVEJ BRILHANTE UTILE FLORAL 750ML,COM CLORO,ALVEJANTE,CUIDADOS COM A ROUPA
PORTA TRAVESSEIRO MF 50X70 KA,FRONHA ,CAMA,"CAMA, MESA E BANHO"
PORTA GUARDANAPO MIMO 396 .,PORTA GUARDANAPO,UTENSÍLIOS DE INOX/ALUMÍNIO,UTILIDADES DE COZINHA
PRATO LANCH ACASA N M BLUE 21CM 02052,PRATO,UTENSÍLIOS DE PORCELANA/CERÂMICA,UTILIDADES DE COZINHA
ANTI MOFO LEVE BRISA 25G,ANTI-MOFO,PURIFICADOR DE AR,CUIDADOS COM A CASA
JOGO UNO MONSTER HIGH,JOGOS,BRINQUEDOS UNISEX,BRINQUEDO
DORI GOMA GOMETS 70g,BALAS - MASTIGÁVEIS,BOMBONIERE,MERCEARIA DOCE
LOURO MARGAO MOIDO VD 24G,LOURO,CONDIMENTO NATURAL,MERCEARIA SALGADA
PALHETA DYNA SLIM S519,PALHETA,AUTOMOTIVO ACESSÓRIOS,AUTOMOTIVO
PROT SOL CORPO LOREAL EXPERT +ACAO REPEL FPS40 120ML,FPS 40,PROTETOR SOLAR CORPORAL,CUIDADOS COM O CORPO
TEMPERO CIA DAS ERVAS P/PEIXES 80G,REALÇADOR SABOR PARA PEIXES,TEMPERO,MERCEARIA SALGADA
"TORTA BGM 1,1KG FLORESTA NEGRA",TORTA DOCE,TORTA,PRATOS PRONTOS
PEGADOR MASSA BRINOX R M2254,PEGADOR,UTENSÍLIOS DE INOX/ALUMÍNIO,UTILIDADES DE COZINHA
PIZZA SEARA PORTUGUESA 460G,PORTUGUESA,PIZZA,PRATOS PRONTOS
MARCADOR QUADRADO BRANCO AZ,MARCADOR QUADRO BRANCO,MATERIAL ESCOLAR,PAPELARIA
VITAMINA MORANGO IBITURUNA 200ML,BEBIDA LÁCTEA,IOGURTE,IOGURTES
SANDALIA HAVAIANAS HYPE CZ/GELO 43X44,SANDÁLIA,CALÇADO ADULTO,CALÇADO
CHOC JUBILEU AMENDOAS AVELA PASSAS 100G,CHOCOLATE BARRA,BOMBONIERE,MERCEARIA DOCE
COGUMELO CHAMPIGNON DOM FIORELLO INTEIRO 100G,CHAMPIGNON,COGUMELO,MERCEARIA SALGADA
TEMP ARRUDA 500GR COMPLETO,TEMPERO PRONTO,TEMPERO,MERCEARIA SALGADA
SACOLA PRESENTE CROMUS METAL PT P UN,SACOLA DE PRESENTE,PAPELARIA,PAPELARIA
CEBOLINHA PICADA TIKAKO EMB 80G,CEBOLINHA,LEGUMES,HORTIFRUTI
LAVA LOUCA LIQ ALPES NEUTRO 5L,LÍQUIDO NEUTRO,LAVA LOUÇA,CUIDADOS COM A COZINHA
ALGODO QUADRADO PARA LIMPEZA DE PELE - -DAISO,QUADRADO,ALGODÃO,CUIDADOS COM O CORPO
BISC ROSQ SAO MARCO ROSCA NATA 400G,ROSQUINHA,BISCOITO,MERCEARIA DOCE
"ANEIS DE CEBOLA 1,1kg LAR",CEBOLA,VEGETAL CONGELADO,CONGELADOS SALGADOS
"MAC INST NISSIN TALHARIN 99G, BOLONHESA",INSTANTÂNEO COPO TALHARIM,MASSA SECA,MERCEARIA SALGADA
FORMINHA MIMO P/GELO SILICONE CARTA .,FORMA DE GELO,UTENSÍLIOS DE SILICONE,UTILIDADES DE COZINHA
TAPETE REGENCY N TUFADO CZ 50X80 RK2957,TAPETES,CAPACHOS E TAPETES,DECORAÇÃO
MAC NINFA SEMOLA 1kg P NOSSO .,MASSA SÊMOLA,MASSA SECA,MERCEARIA SALGADA
PATE PEITO PERU SEARA 100G,PEITO DE PERU,PATÊ,MERCEARIA SALGADA
FRALDA PAMPERS T CONFORT XXG C/52 GIGA PACK,ALTA PERFORMANCE EEG,FRALDA INFANTIL,HIGIENE PESSOAL INFANTIL
TORRADA FHOM SLIM TOST 110G,TORRADA,BISCOITO,MERCEARIA DOCE
TORRADA ITAL SCHAR 83G-PC S/GLUTEN CLASSICA,TORRADA,BISCOITO,MERCEARIA DOCE
CAPACHO IMP ACASA 40X60 D ARRIVE DEPART,CAPACHOS,CAPACHOS E TAPETES,DECORAÇÃO
GELEIA STELLA D'ORO 230G FRAMBOESA .,GELEIA PREMIUM,GELÉIA,MERCEARIA DOCE
LOMBO TEMPERADO ASSADO kg .,LOMBO,SUÍNO RESFRIADO,AÇOUGUE
MARG ADORITA 500G,COM SAL,MARGARINA,GORDUROSOS
CHIMICHURRI 50g VILLA CERRONI S/PIMENTA,CHIMICHURRI,CONDIMENTO NATURAL,MERCEARIA SALGADA
BALA DROPS PAST FREEGELLS UN CEREJA 380G-DY C/12,BALAS - DROPS E PASTILHA,BOMBONIERE,MERCEARIA DOCE
TEMP KITANO MAIS SABOR LEGUMES 60G,REALÇADOR SABOR PARA LEGUMES/VEGETAIS,TEMPERO,MERCEARIA SALGADA
HIDRAT LOC CORPO GRANADO KIT AMENITIES ERVAS/CALENDULA 4X50ML,HIDRATAÇÃO,HIDRATAÇÃO PARA O CORPO,CUIDADOS COM O CORPO
CERV SCHIN ZERO ALCOOL LT 350ML,ZERO ÁLCOOL,CERVEJA,BEBIDAS ALCOÓLICAS
PAO BRIOCHE ARYZTA GOTAS CHOC 270G,BRIOCHE,PÃES,PADARIA
COPO DESCARTAVEL 200ml TREVO CRISTAL,COPO,ARTIGOS PARA FESTAS,DESCARTÁVEIS
TOALHA ROSTO CLASSIC SORT UN,TOALHA DE ROSTO,BANHO,"CAMA, MESA E BANHO"
SOBREM.DANETTE CHOC.BRANCO 360G,SOBREMESA,IOGURTE,IOGURTES
CERV BADEN BADEN ESP BOCK GF 600ML,ESPECIAIS,CERVEJA,BEBIDAS ALCOÓLICAS
BARRA CEREAL PROT VO2 COCO 30G,PROTEICA,BARRA DE CEREAL,MERCEARIA DOCE
RACAO CAO BROTHER 1kg RACAS PEQ .,SECO,ALIMENTO PARA CÃES,PET SHOP
SANDALIA HAVAIANA ANIMALS SLIM,SANDÁLIA,CALÇADO ADULTO,CALÇADO
PRATO PLAST STRAWPLAST NEON LJ 15CM C/10,PRATO,ARTIGOS PARA FESTAS,DESCARTÁVEIS
CIG.DUNHILL CLTR KRE TL BRA DTOL FOR,CIGARRO,CIGARRO,TABACO
MOLHO INGLES IRICI 500ML,TRADICIONAL,MOLHO INGLÊS,MERCEARIA SALGADA
"SILICONE BUCAS RODABRILL SPRAY, TRAD 300ML",SILICONE,AUTOMOTIVO LIMPEZA,AUTOMOTIVO
CHIPS PIPOCA ROOTS TOGO 100G MANTEIGA,CHIPS,SAUDÁVEL,MERCEARIA DOCE
LOMBO BACALHAU BOM PORTO DES SELECAO 1KG,LOMBO DE BACALHAU,PEIXE CONGELADO,PEIXARIA
CERV TRES LOBOS IMPERIAL PORTER GF 600ML,ARTESANAIS,CERVEJA,BEBIDAS ALCOÓLICAS
T.CASTING GLOSS BROWNIE CR.KIT 515 BROWNIE,TONALIZANTE MARROM,COLORAÇÃO FEMININA,CUIDADOS COM O CABELO
DOCE FRUTAS OLIVEIRA ABOBORA 400G,ABÓBORA,DOCE PASTA,MERCEARIA DOCE
SABONETEIRA ACASA B RESINA BC 0431,SABONETEIRA,SABONETEIRA,UTILIDADES DE BANHEIRO
REP PONTA CAPICILIN 55ML ARGAN,REPARADOR DE PONTA,TRANSFORMAÇÃO CABELOS,CUIDADOS COM O CABELO
ESCOVA DENT DENTIL INOVA C/2 MC .,ESCOVA DENTAL DESEMPENHO,ESCOVA DENTAL ADULTO,HIGIENE ORAL
BACIA PLASUTIL LAVANDA 9L,BACIA,UTENSÍLIOS DE PLÁSTICO,LAVANDERIA
POLVILHO AZEDO YOKI 1KG,POLVILHO AZEDO,FARINÁCEO,MERCEARIA DOCE
CAIXA TERMICA 5L SOPRANO TROPICAL VERMELHA,BOLSAS/CAIXAS TÉRMICAS,TÉRMICOS,LAZER/CAMPING
SACO P/LIXO 50LTS BOM LIXO ROLL PRETO,SACO DE LIXO,SACOS,DESCARTÁVEIS
PRATO NUTRIPLAST PRETO 05,PRATO,JARDINAGEM PLANTAR,JARDINAGEM
GRANOLA VITAPAO S/ACUCAR 400G-PC,GRANOLA,SAUDÁVEL,MERCEARIA DOCE
ESC DENT BAS BITUFO MACIA 32+PROTCERD,ESCOVA DENTAL BÁSICA,ESCOVA DENTAL ADULTO,HIGIENE ORAL
SAIA BOX FOX CASAL MATELADA,SAIA CAMA BOX,CAMA,"CAMA, MESA E BANHO"
AGUA MICELAR NIVEA 400ML BIFAS,ÁGUA MICELAR,LIMPEZA DO ROSTO,CUIDADOS COM O ROSTO
NOZ MOSCADA KODILAR 10GR,NOZ MOSCADA,CONDIMENTO NATURAL,MERCEARIA SALGADA
FILTRO AR WEGA FAP9296,FILTRO DE AR,AUTOMOTIVO FILTROS,AUTOMOTIVO
LEITE CONDENSADO 395g NILZA TP C/27,TRADICIONAL,LEITE CONDENSADO,MERCEARIA DOCE
REPELENTE ONLY 100ml INFANTIL,SPRAY,REPELENTES,CUIDADOS COM O CORPO
BATATA RUFFLES S.ONDA COSTELINHA 75G,BATATA REGULAR,SALGADINHO E APERITIVO,MERCEARIA DOCE
COGUMELO SHIMEJI VIDA VERDE BJ 200G,SHIMEJI,COGUMELO,MERCEARIA SALGADA
VEDA ROSCA M-USO 1/2 10M R5395,FITA VEDA ROSCA,FIXAÇÃO,MANUTENÇÃO
MIOLO DE ALCATRA kg .,MILO DE ALCATRA,BOVINO RESFRIADO,AÇOUGUE
EXTENCAO SEULAR COLOR PL 2P+T14136,EXTENSÃO,ELÉTRICA,MANUTENÇÃO
RABANETE ORG CAPELA 300G-BJ,RABANETE ORGANICÔ,LEGUMES,HORTIFRUTI
AGUA MIN MINALBA S/GAS 510ML,SEM GÁS,ÁGUA MINERAL,BEBIDAS NÃO ALCOÓLICAS
BEB MISTA SKINKA UVA 450ML,UVA,BEBIDA MISTA,BEBIDAS NÃO ALCOÓLICAS
QUEIJO GRUYERE VIGOR FRAC,GRUYÉRE,QUEIJO,FRIOS
BANANA PASSAS COSTUME SAUDAVEL 150G,BANANA,FRUTA SECA,EMPÓRIO
CREME P/ PENTEAR 400ml SEDA BOOM CACHOS,CACHOS,CREME DE PENTEAR,CUIDADOS COM O CABELO
BALAO REGINA LISO 6.5 C/50 PRETO,BALÃO,ARTIGOS PARA FESTAS,DESCARTÁVEIS
LAMPADA COMPACTA 3U LDU 15W 220V,LÂMPADA,ILUMINAÇÃO,MANUTENÇÃO
ESM COLORAMA PETALA BCA 1UN-SM,ESMALTE,ESMALTE,CUIDADOS COM MÃOS E PÉS
IOGURTE VIMILK 1kg MORANGO,TRADICIONAL,IOGURTE,IOGURTES
TOMATE PELADO O SOLE E NAPULE INTEIRO 400G,INTEIRO,TOMATE PELADO,MERCEARIA SALGADA
GARFO PLAST KIREY REFEICAO CRISTAL C/10,TALHERES,ARTIGOS PARA FESTAS,DESCARTÁVEIS
FLOR NAT BEGONIA BELEAF P15 UN,BEGÔNIA,"PLANTAS, FLORES E ACESSÓRIOS",JARDINAGEM
CAFE CAPS 3 CORACOES EXPRESSO DESCAF C/10UN 8G,CÁPSULA EXPRESSO,CAFÉ,MERCEARIA DOCE
CR TRAT NOVEX OLEO OLIVA 1KG,TRADICIONAL,CREME PARA TRATAMENTO,CUIDADOS COM O CABELO
PICANHA SUINO SEARA TEMP KG,PICANHA,SUÍNO RESFRIADO,AÇOUGUE
SACO LIXO LEAL ROLO C/60 SC 15L,SACO DE LIXO,SACOS,DESCARTÁVEIS
QUEIJO KAS CLUBE 160G TRES LEITES APERIT,OUTROS ESPECIAIS,QUEIJO,FRIOS
SACO LIXO HERCO LIXO P/BANHEIRO UN,SACO DE LIXO,SACOS,DESCARTÁVEIS
PICANHA PROMOCAO KG,PICANHA,BOVINO RESFRIADO,AÇOUGUE
LIMP PESADA MR MUSCULO CITRUS 500ML,SEM CLORO,LIMPEZA PESADA,CUIDADOS COM A CASA
MIST PAO QUEIJO PACHA 1KG,MISTURAS,FARINÁCEO,MERCEARIA DOCE
POMADA CAB CHARMING EFEITO SECO 50G,POMADA,FIXADOR DE CABELO,CUIDADOS COM O CABELO
TORRADA AMANT.QUEIJO CARONE KG,TORRADA,BISCOITO,MERCEARIA DOCE
